rec-fu,Recommendation follow-up
re-fu,RE follow-up
tc-fu,TC follow-up
adjustment,Adjustment
guidebook-2019,Guidebook 2019 Finding
ptc,Potential technical correction (PTC)
transparency,Transparency
cccuracy,Accuracy
completeness,Completeness
consistency,Consistency
comparability,Comparability
nsms,Not sent to Member State
tc,Technical Correction (TC)
rev-est,Revised Estimate
recommendation,Recommendation
unquantified-potential-technical-correction,Unquantified Potential Technical Correction
proxy-solution,Proxy Solution (PS)